sch_deid,grade,st,school_magnet,school_titlei,tr_ts,school_enroll,frpl_prop,asian_prop,black_prop,hisp_prop,white_prop,period,mean_orf,post
11390,5,OR,Not applicable,Title I schoolwide school,64,324,0.780864197530864,0.0582528954576067,0.015625,0.15625,0.71875,y1_moy,116.686567164179,0
11390,5,OR,Not applicable,Title I schoolwide school,64,324,0.780864197530864,0.0582528954576067,0.015625,0.15625,0.71875,y2_boy,109.423728813559,1
11390,5,OR,Not applicable,Title I schoolwide school,64,324,0.780864197530864,0.0582528954576067,0.015625,0.15625,0.71875,y2_moy,116.640625,1
11391,1,OR,Not applicable,Title I schoolwide school,13,67,0.895522388059702,0.152308652563483,0.244717048938525,0.0769230769230769,0.846153846153846,y1_boy,20.4,0
11391,1,OR,Not applicable,Title I schoolwide school,13,67,0.895522388059702,0.152308652563483,0.244717048938525,0.0769230769230769,0.846153846153846,y1_moy,32.0769230769231,0
11391,1,OR,Not applicable,Title I schoolwide school,13,67,0.895522388059702,0.152308652563483,0.244717048938525,0.0769230769230769,0.846153846153846,y2_boy,16.4444444444444,1
11391,1,OR,Not applicable,Title I schoolwide school,13,67,0.895522388059702,0.152308652563483,0.244717048938525,0.0769230769230769,0.846153846153846,y2_moy,34.5,1
11391,2,OR,Not applicable,Title I schoolwide school,16,67,0.895522388059702,0.139549389404842,0,0.0625,0.8125,y1_boy,58.0588235294118,0
11391,2,OR,Not applicable,Title I schoolwide school,16,67,0.895522388059702,0.139549389404842,0,0.0625,0.8125,y1_moy,84.3333333333333,0
11391,2,OR,Not applicable,Title I schoolwide school,16,67,0.895522388059702,0.139549389404842,0,0.0625,0.8125,y2_boy,37,1
11391,2,OR,Not applicable,Title I schoolwide school,16,67,0.895522388059702,0.139549389404842,0,0.0625,0.8125,y2_moy,79.7647058823529,1
11391,3,OR,Not applicable,Title I schoolwide school,7,67,0.895522388059702,0.0089687172493321,0.178680731267615,0.810579051670068,0.857142857142857,y1_boy,42.8571428571429,0
11391,3,OR,Not applicable,Title I schoolwide school,7,67,0.895522388059702,0.0089687172493321,0.178680731267615,0.810579051670068,0.857142857142857,y1_moy,66.7142857142857,0
11391,3,OR,Not applicable,Title I schoolwide school,7,67,0.895522388059702,0.0089687172493321,0.178680731267615,0.810579051670068,0.857142857142857,y2_boy,47.7777777777778,1
11391,3,OR,Not applicable,Title I schoolwide school,7,67,0.895522388059702,0.0089687172493321,0.178680731267615,0.810579051670068,0.857142857142857,y2_moy,83.3571428571429,1
11391,4,OR,Not applicable,Title I schoolwide school,17,67,0.895522388059702,0.0698178731394086,0.393338656717748,0.519721085364795,0.941176470588235,y1_boy,105,0
11391,4,OR,Not applicable,Title I schoolwide school,17,67,0.895522388059702,0.0698178731394086,0.393338656717748,0.519721085364795,0.941176470588235,y1_moy,134.9375,0
